number,food_code,thai_name,english_name,scientific_name,Ash (g),Calcium (mg),"Carbohydrate, available (g)","Carbohydrate, total (g)",Cholesterol (mg),Copper (mg),Density (g/mL),Dietary fibre (g),Edible portion (%),"Energy, by calculation (kcal)","Fat, total (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total omega-3 polyunsaturated (g)","Fatty acids, total omega-6 polyunsaturated (g)","Fatty acids, total polyunsaturated (g)","Fatty acids, total saturated (g)",Iron (mg),Magnesium (mg),Moisture (g),Niacin (mg),Phosphorus (mg),Potassium (mg),"Protein, total (g)",Retinol (mcg),Riboflavin (mg),Sodium (mg),"Sugars, total (g)",Thiamin (mg),Total energy - by calculation (kcal),Vitamin A; retinol activity equivalent (mcg),Vitamin C (mg),Zinc (mg),b-carotene (mcg),detail_url
1,T284,"กบ, ทอดกรอบ, ผัดเผ็ด","Frog, fried, spicy",Hoplobatrachus rugulosus,9.80,-,26.40,-,-,-,-,0.0,-,510,31.30,-,-,-,-,-,-,-,1.7,-,-,-,30.80,-,-,-,-,-,-,-,-,4.90,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1445&name=Frog, fried, spicy"
2,T174,กระเพราไก่,"Kra-pao-gai (Chicken, stir fried with chilli and basil, Thai style)",-,1.07,15,1.06,-,156,0.11,-,1.2,-,155,6.72,-,-,-,-,0.46,1.42,36,68.0,-,166,275,21.94,13,0.07,314,1.05,0.13,-,25,2,0.86,136,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1446&name=Kra-pao-gai (Chicken, stir fried with chilli and basil, Thai style)"
3,T182,"แกงกรุหม่า, กะทิ","Kurma curry, with coconut milk",-,2.25,-,8.25,-,34,-,-,1.4,-,216,15.25,3.72,0.36,4.86,5.22,5.64,-,-,62.1,-,-,279,10.80,-,-,360,1.15,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1447&name=Kurma curry, with coconut milk"
4,T181,"แกงกรุหม่า, ไก่","Kurma curry, chicken",-,2.67,230,3.80,-,37,-,-,0.0,-,119,5.60,2.18,0.06,0.85,0.92,2.25,1.07,-,74.5,-,-,-,13.43,-,0.02,491,3.10,0.06,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1448&name=Kurma curry, chicken"
5,T183,"แกงกรุหม่า, ไม่ใส่กะทิ","Kurma curry, without coconut milk",-,2.25,-,8.40,-,30,-,-,2.3,-,155,7.95,2.27,0.27,3.03,3.30,2.03,-,-,67.9,-,-,267,11.20,-,-,360,0.35,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1449&name=Kurma curry, without coconut milk"
6,T17,"แกงกะหรี่, กุ้ง/ปลา/ปลาหมึก, บรรจุกระป๋อง","Curry, yellow (Kari), prawn/fish/squid, canned",-,2.12,25,5.30,-,29,-,-,0.8,-,137,10.31,-,-,-,-,7.51,1.24,-,76.2,-,-,-,5.29,0,-,404,3.52,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1450&name=Curry, yellow (Kari), prawn/fish/squid, canned"
7,T179,"แกงกะหรี่, ไก่","Curry, yellow (Kari), chicken",-,2.11,-,6.50,-,47,-,-,1.5,-,117,5.65,1.81,0.15,1.08,1.24,2.14,0.84,-,75.0,-,-,381,9.25,-,-,368,5.33,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1451&name=Curry, yellow (Kari), chicken"
8,T18,"แกงกะหรี่, ไก่/เนื้อ, บรรจุกระป๋อง","Curry, yellow (Kari), beef/chicken, canned",-,2.54,16,7.38,-,-,-,-,1.2,-,138,7.95,-,-,-,-,-,1.03,-,72.2,-,-,-,8.69,0,0.07,552,4.75,0.02,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1452&name=Curry, yellow (Kari), beef/chicken, canned"
9,T180,"แกงกะหรี่, เนื้อ","Curry, yellow (Kari), beef",-,3.05,-,-,10.25,38,-,-,-,-,-,7.95,2.30,0.12,0.81,0.94,4.33,2.00,-,63.6,-,-,-,15.20,-,-,552,-,-,173,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1453&name=Curry, yellow (Kari), beef"
10,T286,แกงขนุน,"Curry, young jackfruit",-,1.85,21,-,3.40,-,-,-,-,-,-,3.90,-,-,-,-,-,1.42,-,87.5,1.30,31,-,3.40,0,0.07,-,-,8.52,62,4,1,-,54,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1454&name=Curry, young jackfruit"
