epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,397.155,1.28509,8.85202,0.70858,3.30106,1.69914,0.46815,0.67242,0.45638,0.28341,0,0,0,0,1.22658,7.98878,0.73238,3.14495,1.90875,0.000330484,0.000330484,0.000330484
2,725.746,1.27418,7.44533,0.6794,2.15868,1.6343,0.59111,0.65388,0.50611,0.27307,0.00187,0.00932,0.00013,2e-05,1.46779,7.63206,0.40456,2.4319,2.16504,0.000657246,0.000657246,0.000657246
3,1017.05,1.23217,6.73778,0.64506,1.86139,1.5817,0.51476,0.8077,0.6765,0.40636,0.38176,0.0603,0.01068,0.00135,1.37237,6.16577,0.32889,1.87945,2.03218,0.000977407,0.000977407,0.000977407
4,1313.56,1.28295,6.0924,0.61902,1.72953,1.63608,0.67074,0.76347,0.79926,0.50581,0.13073,0.15839,0.06083,0.00858,1.21865,5.46916,0.29784,1.4585,1.87894,0.0009703,0.0009703,0.0009703
5,1608.94,1.20301,5.91104,0.6027,1.57064,1.57077,0.47521,0.87882,0.76735,0.49765,0.13836,0.23357,0.0963,0.01505,1.14967,5.59581,0.26805,1.43387,1.81389,0.0009604,0.0009604,0.0009604
6,1900.54,1.2015,5.53451,0.59524,1.51922,1.54416,0.53418,0.81896,0.74847,0.47152,0.24535,0.35589,0.16992,0.0355,1.23422,4.79991,0.30377,1.38977,1.9656,0.0009505,0.0009505,0.0009505
7,2189.23,1.15785,5.21903,0.5761,1.39642,1.52049,0.76581,0.68408,0.86932,0.54827,0.62055,0.50124,0.43453,0.10287,1.22105,3.88046,0.3034,1.29681,1.86288,0.0009406,0.0009406,0.0009406
8,2482.27,1.15764,4.83449,0.55534,1.36172,1.53191,0.63046,0.88341,0.86879,0.59235,0.47743,0.53001,0.4287,0.09147,1.15973,3.74008,0.26738,1.0205,1.73607,0.0009307,0.0009307,0.0009307
9,2786.48,1.09723,4.4506,0.54294,1.30267,1.47499,0.71978,0.78563,0.82564,0.54568,0.60996,0.66728,0.63474,0.19957,1.04355,3.20479,0.24542,1.10444,1.71992,0.0009208,0.0009208,0.0009208
10,3206.55,1.10368,4.30058,0.53027,1.23828,1.46879,0.7184,0.87101,0.88704,0.62475,0.649,0.78293,0.73795,0.19773,1.02493,2.93124,0.28134,0.97432,1.66704,0.0009109,0.0009109,0.0009109
11,3803.04,1.08298,4.21552,0.52579,1.21503,1.45289,0.85567,0.92719,0.92085,0.62549,0.69217,0.7853,0.70622,0.18216,1.06214,3.05744,0.23384,0.81853,1.66501,0.000901,0.000901,0.000901
12,4261.99,1.04755,4.15891,0.52047,1.16883,1.43932,0.89294,0.79935,0.92612,0.62836,0.68364,0.65572,0.68148,0.24862,1.03015,2.72736,0.2884,0.90423,1.65765,0.0008911,0.0008911,0.0008911
13,4722.68,1.07285,3.93181,0.49351,1.15976,1.473,0.82169,0.86751,0.93426,0.6569,0.79938,0.84346,0.88151,0.33959,1.05083,2.49648,0.25382,0.84995,1.67032,0.0008812,0.0008812,0.0008812
14,5216.1,1.07612,3.80186,0.49256,1.09672,1.46346,0.80188,0.86465,0.93436,0.65025,0.76383,0.80191,0.79355,0.30149,1.0131,2.47162,0.24606,0.86674,1.60934,0.0008713,0.0008713,0.0008713
